iter	Passed	Remaining
0	2	2010
1	3	1819
2	5	1744
3	6	1712
4	8	1744
5	9	1601
6	10	1522
7	12	1523
8	14	1541
9	15	1547
10	17	1552
11	18	1553
12	20	1555
13	22	1605
14	24	1612
15	26	1614
16	27	1611
17	29	1611
18	31	1608
19	32	1574
20	33	1576
21	35	1573
22	37	1592
23	39	1589
24	40	1588
25	42	1585
26	43	1557
27	44	1557
28	46	1558
29	48	1555
30	49	1556
31	51	1561
32	53	1564
33	54	1557
34	56	1554
35	58	1553
36	59	1544
37	61	1545
38	62	1546
39	64	1552
40	66	1550
41	68	1552
42	69	1552
43	71	1552
44	72	1544
45	74	1542
46	75	1533
47	77	1531
48	78	1532
49	79	1518
50	80	1501
51	82	1502
52	83	1500
53	84	1489
54	86	1487
55	88	1486
56	89	1484
57	91	1485
58	93	1490
59	95	1490
60	96	1492
61	98	1490
62	100	1490
63	101	1490
64	103	1490
65	105	1488
66	107	1494
67	109	1504
68	112	1511
69	113	1513
70	116	1518
71	117	1519
72	119	1514
73	121	1515
74	122	1514
75	123	1504
76	125	1504
77	127	1504
78	129	1505
79	131	1509
80	133	1510
81	135	1520
82	137	1522
83	140	1529
84	142	1529
85	143	1528
86	146	1539
87	148	1539
88	150	1537
89	151	1535
90	153	1532
91	155	1532
92	156	1530
93	158	1528
94	160	1528
95	161	1522
96	163	1522
97	165	1522
98	167	1521
99	168	1519
100	170	1518
101	172	1516
102	173	1514
103	175	1514
104	177	1509
105	178	1508
106	180	1505
107	182	1503
108	183	1501
109	185	1499
110	186	1497
111	188	1495
112	190	1494
113	192	1494
114	194	1493
115	195	1492
116	197	1490
117	199	1487
118	200	1486
119	202	1484
120	203	1479
121	205	1479
122	207	1478
123	209	1476
124	210	1471
125	211	1469
126	213	1467
127	215	1465
128	216	1464
129	218	1462
130	220	1464
131	222	1462
132	224	1460
133	225	1458
134	227	1456
135	228	1454
136	230	1452
137	232	1450
138	233	1449
139	235	1447
140	237	1446
141	239	1445
142	240	1443
143	242	1441
144	244	1439
145	245	1436
146	247	1435
147	249	1435
148	250	1433
149	252	1431
150	254	1430
151	255	1426
152	257	1424
153	258	1422
154	260	1417
155	261	1416
156	263	1417
157	265	1415
158	267	1412
159	268	1411
160	270	1410
161	272	1408
162	273	1406
163	275	1404
164	277	1404
165	278	1400
166	280	1398
167	282	1396
168	283	1395
169	285	1393
170	287	1392
171	288	1390
172	290	1389
173	292	1387
174	294	1386
175	295	1384
176	297	1382
177	299	1380
178	300	1379
179	302	1377
180	303	1375
181	305	1374
182	307	1371
183	308	1370
184	310	1368
185	312	1367
186	313	1362
187	314	1360
188	316	1358
189	318	1356
190	320	1356
191	321	1354
192	322	1349
193	324	1348
194	326	1347
195	328	1345
196	329	1343
197	331	1342
198	333	1340
199	335	1340
200	336	1338
201	338	1336
202	339	1333
203	341	1331
204	342	1330
205	344	1328
206	346	1327
207	348	1325
208	349	1324
209	351	1322
210	353	1320
211	354	1318
212	356	1316
213	357	1314
214	359	1312
215	361	1310
216	363	1310
217	364	1308
218	366	1307
219	368	1305
220	369	1303
221	371	1302
222	373	1301
223	374	1296
224	376	1295
225	377	1292
226	378	1290
227	380	1288
228	382	1287
229	384	1285
230	385	1282
231	386	1280
232	388	1278
233	390	1277
234	392	1276
235	393	1274
236	395	1273
237	397	1271
238	398	1270
239	400	1268
240	402	1267
241	404	1266
242	406	1265
243	408	1264
244	409	1262
245	411	1261
246	412	1258
247	414	1256
248	416	1254
249	417	1253
250	419	1252
251	421	1250
252	422	1248
253	424	1246
254	426	1245
255	427	1243
256	429	1241
257	431	1240
258	432	1238
259	435	1238
260	436	1237
261	438	1235
262	440	1233
263	441	1232
264	443	1230
265	445	1228
266	446	1227
267	448	1226
268	450	1224
269	452	1222
270	453	1221
271	455	1219
272	457	1217
273	459	1216
274	460	1214
275	462	1213
276	464	1211
277	465	1209
278	467	1208
279	469	1206
280	470	1204
281	472	1202
282	474	1200
283	475	1199
284	477	1198
285	479	1196
286	481	1195
287	482	1194
288	484	1192
289	486	1190
290	487	1188
291	489	1187
292	491	1186
293	493	1184
294	494	1182
295	496	1181
296	498	1179
297	499	1177
298	501	1175
299	502	1173
300	504	1171
301	506	1170
302	507	1166
303	509	1165
304	510	1163
305	512	1162
306	514	1160
307	515	1157
308	516	1156
309	518	1154
310	520	1153
311	522	1151
312	523	1149
313	525	1148
314	527	1146
315	528	1144
316	530	1142
317	532	1141
318	533	1139
319	535	1137
320	537	1136
321	538	1134
322	540	1132
323	542	1131
324	543	1129
325	545	1128
326	547	1126
327	549	1125
328	551	1124
329	552	1121
330	553	1119
331	555	1118
332	557	1116
333	559	1114
334	560	1113
335	562	1112
336	564	1110
337	566	1108
338	567	1107
339	569	1105
340	571	1103
341	572	1101
342	573	1098
343	575	1096
344	576	1095
345	578	1093
346	580	1092
347	582	1090
348	583	1088
349	585	1087
350	587	1086
351	589	1084
352	591	1083
353	592	1081
354	594	1080
355	596	1078
356	597	1076
357	599	1075
358	601	1073
359	602	1071
360	604	1070
361	606	1068
362	607	1066
363	609	1065
364	611	1063
365	612	1061
366	614	1059
367	616	1058
368	617	1056
369	619	1055
370	621	1053
371	622	1050
372	624	1048
373	625	1047
374	627	1045
375	628	1043
376	630	1042
377	632	1040
378	634	1039
379	636	1037
380	637	1036
381	639	1034
382	641	1032
383	642	1030
384	644	1029
385	646	1027
386	647	1026
387	649	1024
388	650	1021
389	652	1020
390	653	1018
391	655	1016
392	657	1015
393	658	1013
394	660	1011
395	662	1010
396	664	1008
397	665	1007
398	667	1005
399	669	1003
400	670	1002
401	672	1000
402	674	998
403	675	997
404	677	995
405	679	994
406	681	992
407	682	990
408	684	988
409	685	987
410	687	985
411	689	983
412	691	982
413	692	980
414	694	978
415	695	976
416	697	975
417	699	973
418	700	971
419	702	969
420	704	968
421	705	966
422	707	965
423	709	963
424	711	962
425	712	960
426	714	959
427	716	957
428	718	955
429	719	954
430	720	951
431	722	950
432	724	948
433	726	946
434	727	944
435	729	943
436	730	941
437	732	939
438	734	938
439	735	936
440	737	934
441	739	933
442	741	931
443	742	930
444	744	928
445	746	926
446	747	924
447	749	922
448	750	921
449	752	919
450	754	917
451	755	916
452	757	914
453	759	912
454	760	911
455	762	909
456	763	907
457	765	906
458	767	904
459	769	902
460	770	901
461	772	899
462	774	897
463	775	896
464	777	895
465	779	893
466	781	891
467	783	890
468	784	888
469	785	886
470	787	884
471	789	882
472	790	881
473	792	879
474	794	878
475	796	876
476	797	874
477	799	873
478	800	870
479	802	869
480	804	867
481	805	866
482	807	864
483	809	862
484	810	861
485	812	859
486	815	859
487	817	857
488	819	856
489	821	855
490	823	853
491	825	852
492	827	850
493	828	848
494	830	847
495	832	845
496	834	844
497	836	842
498	838	841
499	840	840
500	842	839
501	845	838
502	848	838
503	850	836
504	851	834
505	853	833
506	855	832
507	858	831
508	860	830
509	863	829
510	865	828
511	867	826
512	869	825
513	871	824
514	874	823
515	876	822
516	878	820
517	880	819
518	882	817
519	884	816
520	886	814
521	889	814
522	891	812
523	893	811
524	894	809
525	896	807
526	898	806
527	900	805
528	903	804
529	904	802
530	908	802
531	910	800
532	912	799
533	914	797
534	915	796
535	918	795
536	921	794
537	923	792
538	925	791
539	926	789
540	928	787
541	930	786
542	933	786
543	936	785
544	938	783
545	940	781
546	941	780
547	943	778
548	946	777
549	949	776
550	952	775
551	953	774
552	955	772
553	957	770
554	959	769
555	961	768
556	963	766
557	966	765
558	968	764
559	970	762
560	972	760
561	974	759
562	977	759
563	979	757
564	982	756
565	984	754
566	986	753
567	988	751
568	989	749
569	992	748
570	994	746
571	996	745
572	998	744
573	1000	742
574	1002	740
575	1002	738
576	1005	736
577	1007	735
578	1008	733
579	1010	731
580	1012	730
581	1014	728
582	1015	726
583	1017	724
584	1019	723
585	1021	721
586	1023	720
587	1025	718
588	1027	716
589	1029	715
590	1030	713
591	1032	711
592	1034	709
593	1035	707
594	1036	705
595	1038	703
596	1040	702
597	1042	700
598	1044	698
599	1045	697
600	1047	695
601	1048	693
602	1050	691
603	1052	689
604	1053	688
605	1055	686
606	1057	684
607	1059	682
608	1061	681
609	1062	679
610	1064	677
611	1066	675
612	1067	674
613	1069	672
614	1071	670
615	1073	668
616	1074	667
617	1079	667
618	1081	665
619	1087	666
620	1090	665
621	1093	664
622	1097	663
623	1099	662
624	1101	660
625	1103	659
626	1105	657
627	1106	655
628	1108	653
629	1110	652
630	1113	650
631	1115	649
632	1117	647
633	1120	646
634	1123	645
635	1126	644
636	1129	643
637	1131	642
638	1134	640
639	1136	639
640	1138	637
641	1140	635
642	1142	634
643	1144	632
644	1146	631
645	1148	629
646	1150	627
647	1152	625
648	1153	624
649	1156	622
650	1158	621
651	1161	620
652	1167	620
653	1172	620
654	1176	619
655	1180	619
656	1185	618
657	1188	617
658	1193	617
659	1205	621
660	1210	620
661	1215	620
662	1218	619
663	1221	617
664	1223	616
665	1227	615
666	1232	615
667	1234	613
668	1237	612
669	1240	610
670	1243	609
671	1246	608
672	1249	607
673	1252	605
674	1254	604
675	1257	602
676	1260	601
677	1263	600
678	1266	598
679	1270	597
680	1273	596
681	1276	595
682	1280	594
683	1282	592
684	1286	591
685	1289	590
686	1292	588
687	1295	587
688	1297	585
689	1300	584
690	1302	582
691	1306	581
692	1309	580
693	1312	578
694	1314	576
695	1318	576
696	1323	575
697	1325	573
698	1327	571
699	1329	569
700	1332	568
701	1334	566
702	1336	564
703	1337	562
704	1339	560
705	1341	558
706	1343	556
707	1345	554
708	1346	552
709	1348	550
710	1349	548
711	1351	546
712	1353	544
713	1355	542
714	1357	541
715	1359	539
716	1361	537
717	1363	535
718	1365	533
719	1367	531
720	1369	530
721	1371	528
722	1374	526
723	1376	524
724	1378	522
725	1380	521
726	1382	519
727	1384	517
728	1386	515
729	1389	513
730	1391	511
731	1393	510
732	1395	508
733	1397	506
734	1399	504
735	1402	502
736	1403	500
737	1405	499
738	1408	497
739	1410	495
740	1412	493
741	1414	491
742	1416	490
743	1418	488
744	1420	486
745	1422	484
746	1424	482
747	1427	480
748	1429	478
749	1431	477
750	1433	475
751	1435	473
752	1437	471
753	1439	469
754	1441	467
755	1443	465
756	1445	464
757	1447	462
758	1449	460
759	1451	458
760	1453	456
761	1455	454
762	1457	452
763	1460	451
764	1463	449
765	1465	447
766	1467	445
767	1469	444
768	1472	442
769	1474	440
770	1476	438
771	1478	436
772	1480	434
773	1482	432
774	1484	431
775	1487	429
776	1489	427
777	1492	425
778	1494	424
779	1496	422
780	1499	420
781	1505	419
782	1506	417
783	1509	415
784	1511	413
785	1513	411
786	1515	410
787	1518	408
788	1521	406
789	1523	405
790	1525	403
791	1527	401
792	1529	399
793	1531	397
794	1534	395
795	1536	393
796	1537	391
797	1539	389
798	1541	387
799	1543	385
800	1546	384
801	1548	382
802	1550	380
803	1552	378
804	1554	376
805	1556	374
806	1558	372
807	1560	370
808	1562	368
809	1564	366
810	1566	364
811	1568	363
812	1569	361
813	1571	359
814	1573	357
815	1575	355
816	1577	353
817	1579	351
818	1581	349
819	1583	347
820	1585	345
821	1588	344
822	1591	342
823	1594	340
824	1596	338
825	1598	336
826	1600	334
827	1602	332
828	1604	331
829	1606	329
830	1609	327
831	1611	325
832	1613	323
833	1615	321
834	1617	319
835	1619	317
836	1621	315
837	1622	313
838	1624	311
839	1626	309
840	1628	307
841	1630	305
842	1632	303
843	1633	301
844	1635	299
845	1637	297
846	1638	296
847	1640	294
848	1642	292
849	1643	290
850	1646	288
851	1647	286
852	1649	284
853	1650	282
854	1652	280
855	1653	278
856	1655	276
857	1657	274
858	1659	272
859	1660	270
860	1662	268
861	1664	266
862	1666	264
863	1667	262
864	1669	260
865	1671	258
866	1672	256
867	1674	254
868	1676	252
869	1678	250
870	1679	248
871	1681	246
872	1682	244
873	1684	242
874	1686	240
875	1688	239
876	1690	237
877	1691	235
878	1693	233
879	1695	231
880	1696	229
881	1698	227
882	1699	225
883	1701	223
884	1703	221
885	1705	219
886	1707	217
887	1708	215
888	1710	213
889	1711	211
890	1713	209
891	1715	207
892	1717	205
893	1718	203
894	1720	201
895	1722	199
896	1723	197
897	1725	195
898	1727	194
899	1728	192
